,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
23,24,May 9,True,HOU,"W,5-4",9.0,9,4,4,0,1,2,4,0,4.28,34,,,1.0,0.0,0,2,33,0,0,0,0,0,0,1,3,Paul Pryor,"L.McWilliams (5-46-W), R.Camp (2-H), L.Bradford (3-Sv)",ATL,1980
24,25,May 10,True,HOU,"L,2-3",11.0,8,3,2,1,6,4,0,0,4.14,47,,,3.0,1.0,2,1,40,0,0,2,1,0,1,0,4,Joe West,"R.Matula (4-66), L.Bradford (0), G.Garber (4-L), A.Hrabosky (3)",ATL,1980
25,26,May 11,True,HOU,"W,7-4",9.0,7,4,4,0,6,3,0,0,4.14,39,,,,,1,0,30,1,0,0,1,2,2,3,1,John McSherry,P.Niekro (8-54-W),ATL,1980
26,27,May 13,True,PHI,"W,7-3",9.0,6,3,2,1,4,6,0,1,4.06,35,,,2.0,2.0,1,1,30,3,0,0,0,0,1,3,2,Steve Fields,"D.Alexander (6-60-W), R.Camp (3-Sv)",ATL,1980
27,28,May 14,True,PHI,"L,1-9",9.0,14,9,8,1,1,4,0,1,4.2,42,,,3.0,3.0,0,1,39,3,0,0,1,0,3,2,4,Harry Wendelstedt,"L.McWilliams (4-12-L), T.Boggs (7), P.Hanna (8), G.Garber (3)",ATL,1980
28,29,May 16,True,NYM,"L,3-5",9.0,11,5,5,0,5,4,0,0,4.23,43,,,2.0,0.0,0,1,37,2,0,0,1,0,1,0,3,Frank Pulli,"P.Niekro (4-34-L), G.Garber (1), A.Hrabosky (5)",ATL,1980
29,30,May 18(1),True,NYM,"W,2-1",9.0,6,1,1,0,2,1,0,0,4.12,33,,,1.0,0.0,0,0,30,0,0,0,0,1,0,2,2,Dutch Rennert,"R.Matula (7-66-W), R.Camp (4-Sv)",ATL,1980
30,31,May 18(2),True,NYM,"L,1-2",9.0,5,2,0,2,2,8,0,0,3.98,32,,,0.0,0.0,1,1,27,0,0,1,3,0,2,1,2,Steve Fields,"D.Alexander (4-79), G.Garber (1-L)",ATL,1980
31,32,May 19,False,MON,"L,8-11",8.0,11,11,11,0,4,5,3,1,4.22,40,,,1.0,0.0,2,0,35,1,0,0,0,0,0,0,5,Nick Colosi,"L.McWilliams (4-26-L), T.Boggs (4), P.Hanna (4), L.Bradford (8), A.Hrabosky (2)",ATL,1980
32,33,May 20,False,MON,"W,1-0",9.0,6,0,0,0,1,4,0,0,4.09,32,,,,,2,2,31,1,0,0,0,0,1,1,1,Jerry Crawford,P.Niekro (3-78-W),ATL,1980
33,34,May 21,False,MON,"L,2-3",8.1,8,3,3,0,6,4,0,0,4.07,39,,,0.0,0.0,2,0,32,1,0,0,1,0,0,0,3,Doug Harvey,"P.Hanna (1-52), R.Camp (2), G.Garber (2-L)",ATL,1980
34,35,May 23,False,NYM,"L,1-2",8.0,6,2,2,0,3,4,0,0,4.02,31,,,0.0,0.0,0,1,28,1,0,1,0,0,0,1,2,Ed Vargo,"R.Matula (4-59-L), L.Bradford (3)",ATL,1980
35,36,May 24,False,NYM,"L,4-5",9.2,10,5,5,0,2,6,1,1,4.04,43,,,1.0,1.0,0,0,38,3,0,1,1,1,1,0,3,Satch Davidson,"D.Alexander (5-51), L.Bradford (0-BSv), R.Camp (2-L)",ATL,1980
36,37,May 25,False,NYM,"L,0-3",8.0,8,3,3,0,2,5,1,1,4.02,33,,,,,0,1,30,3,0,0,0,0,0,1,1,Eric Gregg,P.Niekro (4-57-L),ATL,1980
37,38,May 26,True,SFG,"W,2-1",9.0,7,1,1,0,2,5,0,0,3.94,36,,,0.0,0.0,1,0,33,0,1,0,1,0,0,0,2,Dave Pallone,"T.Boggs (6-68-W), L.Bradford (1-Sv)",ATL,1980
38,39,May 27,True,SFG,"W,6-3",9.0,12,3,3,0,1,7,1,0,3.92,39,,,4.0,0.0,0,0,36,5,0,0,1,1,0,0,4,Ed Vargo,"L.McWilliams (7-50-W), R.Camp (2-H), L.Bradford (0-H), G.Garber (5-Sv)",ATL,1980
39,40,May 28,True,SFG,"W,3-2",12.0,5,2,2,0,7,6,1,0,3.84,48,,,5.0,0.0,1,0,38,0,0,2,3,0,0,0,5,Steve Fields,"D.Alexander (3-64), R.Camp (0), L.Bradford (0), G.Garber (0), A.Hrabosky (8-W)",ATL,1980
40,41,May 29,False,LAD,"L,0-3",8.0,9,3,3,0,3,6,2,0,3.83,35,,,,,0,0,31,1,0,0,1,0,0,1,1,Jerry Dale,P.Niekro (3-55-L),ATL,1980
41,42,May 30,False,LAD,"L,4-8",8.0,8,8,6,2,4,5,1,0,3.89,36,,,3.0,3.0,0,0,30,1,0,1,1,1,1,1,4,Bob Engel,"R.Matula (6-19-L), R.Camp (1), A.Hrabosky (1), G.Garber (1)",ATL,1980
42,43,May 31,False,LAD,"W,6-5",9.0,9,5,5,0,4,6,1,0,3.91,40,,,4.0,0.0,1,0,36,1,0,0,0,0,0,0,3,Paul Runge,"T.Boggs (4-51-W), L.Bradford (2-H), G.Garber (0-Sv)",ATL,1980
43,44,Jun 1,False,LAD,"W,9-5",9.0,12,5,5,0,4,4,2,0,3.94,43,,,3.0,0.0,0,0,38,0,0,0,1,0,0,0,2,Jim Quick,"D.Alexander (3-35-W), R.Camp (1-Sv)",ATL,1980
44,45,Jun 2,False,SFG,"W,4-2",9.0,11,2,2,0,1,3,0,0,3.9,36,,,,,0,0,34,1,1,0,1,0,0,3,1,Frank Pulli,P.Niekro (3-59-W),ATL,1980
45,46,Jun 3,False,SFG,"L,2-3",8.2,7,3,3,0,2,5,0,2,3.88,36,,,2.0,2.0,0,0,32,4,0,0,0,0,0,0,2,Ed Montague,"L.McWilliams (6-69), L.Bradford (2-BL)",ATL,1980
46,47,Jun 4,False,SFG,"W,7-2",9.0,7,2,0,2,2,3,0,0,3.8,36,,,,,0,0,32,1,0,0,2,0,2,2,1,Harry Wendelstedt,R.Matula (4-70-W),ATL,1980
47,48,Jun 6,True,LAD,"L,0-5",9.0,8,5,4,1,3,7,2,0,3.8,38,,,0.0,0.0,0,0,34,2,0,0,1,0,2,1,2,Joe West,"P.Niekro (3-54-L), A.Hrabosky (6)",ATL,1980
48,49,Jun 7,True,LAD,"W,6-1",9.0,10,1,1,0,1,1,1,1,3.74,38,,,,,0,0,36,4,0,0,0,0,1,2,1,Paul Pryor,D.Alexander (5-63-W),ATL,1980
49,50,Jun 8,True,LAD,"L,1-3",9.0,4,3,3,0,3,3,1,0,3.73,34,,,0.0,0.0,2,0,30,2,0,0,1,0,0,0,2,John McSherry,"T.Boggs (7-56-L), G.Garber (7)",ATL,1980
50,51,Jun 9,True,STL,"L,5-8",10.0,11,8,8,0,2,4,2,0,3.8,43,,,3.0,2.0,1,0,40,4,0,0,0,1,0,0,5,Andy Olsen,"R.Matula (4-33), A.Hrabosky (2), R.Camp (7), L.Bradford (5-L), G.Garber (0)",ATL,1980
51,52,Jun 10,True,STL,"W,5-2",9.0,3,2,2,0,6,8,1,0,3.77,34,,,,,0,1,28,0,0,0,0,0,0,1,1,Nick Colosi,P.Niekro (3-75-W),ATL,1980
52,53,Jun 11,True,STL,"L,3-4",10.0,9,4,3,1,3,4,2,1,3.75,42,,,3.0,1.0,0,0,37,2,0,2,1,0,1,1,4,Doug Harvey,"L.McWilliams (7-58), R.Camp (1), L.Bradford (1-L), G.Garber (1)",ATL,1980
53,54,Jun 13,False,CHC,"W,7-6",9.0,9,6,5,1,5,5,1,0,3.77,41,,,3.0,1.0,1,0,36,2,0,0,0,0,1,1,3,Paul Runge,"D.Alexander (5-43-W), L.Bradford (1-H), G.Garber (1-Sv)",ATL,1980
54,55,Jun 14,False,CHC,"L,5-10",8.0,18,10,10,0,8,0,0,0,3.89,48,,,2.0,0.0,0,0,38,2,0,1,1,1,1,3,3,Fred Brocklander,"P.Niekro (3-3-L), P.Hanna (23), A.Hrabosky (4)",ATL,1980
55,56,Jun 15,False,CHC,"L,1-4",8.0,12,4,4,0,5,2,1,0,3.9,39,,,0.0,0.0,1,1,30,2,0,1,3,1,0,1,2,Jerry Dale,"R.Matula (5-44-L), R.Camp (3)",ATL,1980
56,57,Jun 16,False,STL,"W,6-3",9.0,8,3,2,1,2,3,0,0,3.87,35,,,,,0,0,33,1,1,0,0,0,0,2,1,Bob Engel,T.Boggs (7-62-W),ATL,1980
57,58,Jun 17,False,STL,"L,2-3",8.1,8,3,3,0,2,1,1,0,3.86,31,,,,,0,1,27,1,0,1,2,0,0,3,1,Paul Runge,D.Alexander (3-54-L),ATL,1980
58,59,Jun 18(1),True,PIT,"W,3-2",9.0,9,2,1,1,1,8,0,0,3.81,37,,,0.0,0.0,2,1,36,3,0,0,0,0,2,1,2,Harry Wendelstedt,"L.McWilliams (6-65), G.Garber (4-W)",ATL,1980
59,60,Jun 18(2),True,PIT,"W,5-4",9.0,8,4,4,0,2,6,1,0,3.81,36,,,1.0,0.0,2,1,34,0,0,0,0,0,0,0,4,Eric Gregg,"P.Niekro (3-46), R.Camp (2-W), L.Bradford (4-H), G.Garber (-1-Sv)",ATL,1980
60,61,Jun 19,True,PIT,"W,4-3",9.0,8,3,3,0,2,4,0,0,3.8,35,,,2.0,0.0,0,1,32,1,0,0,0,1,0,1,2,Bruce Froemming,"R.Matula (3-52-W), L.Bradford (0-Sv)",ATL,1980
61,62,Jun 20,True,CHC,"L,2-4",9.0,9,4,3,1,3,5,1,0,3.78,38,,,2.0,1.0,2,0,34,1,0,0,0,1,1,2,3,Steve Fields,"T.Boggs (3-44-L), R.Camp (1), A.Hrabosky (5)",ATL,1980
62,63,Jun 21,True,CHC,"W,8-0",9.0,3,0,0,0,1,7,0,0,3.72,32,,,,,1,0,31,0,0,0,0,0,1,0,1,Harry Wendelstedt,D.Alexander (3-87-W),ATL,1980
63,64,Jun 22,True,CHC,"L,2-3",9.0,10,3,3,0,2,5,2,0,3.71,37,,,0.0,0.0,0,1,35,2,0,0,0,0,0,0,2,Eric Gregg,"P.Niekro (3-46-L), R.Camp (1)",ATL,1980
64,65,Jun 24,False,CIN,"L,2-8",8.0,16,8,5,3,5,4,1,0,3.74,44,,,2.0,0.0,2,0,38,4,1,1,1,0,1,0,4,Charlie Williams,"L.McWilliams (5-37-L), R.Camp (1), A.Hrabosky (3), G.Garber (5)",ATL,1980
65,66,Jun 25,False,CIN,"L,3-15",8.0,18,15,15,0,8,3,2,0,3.92,48,,,2.0,2.0,0,0,36,3,0,0,2,2,0,2,5,Paul Pryor,"R.Matula (5-12-L), P.Hanna (10), R.Camp (0), A.Hrabosky (0), L.Bradford (5)",ATL,1980
66,67,Jun 27,False,SDP,"W,5-3",9.0,8,3,3,0,2,1,1,0,3.9,36,,,2.0,1.0,1,1,34,0,0,0,0,0,0,0,4,Andy Olsen,"D.Alexander (5-60), R.Camp (1-W), L.Bradford (1-H), G.Garber (2-Sv)",ATL,1980
67,68,Jun 28(1),False,SDP,"W,5-4",9.0,11,4,4,0,3,3,0,0,3.91,42,,,1.0,0.0,3,0,36,2,0,1,2,1,1,0,4,Nick Colosi,"T.Boggs (7-38), R.Camp (0), L.Bradford (0-W), G.Garber (0-Sv)",ATL,1980
68,69,Jun 28(2),False,SDP,"L,2-3",8.1,8,3,3,0,2,6,0,0,3.9,35,,,0.0,0.0,4,0,31,1,0,1,1,1,0,0,3,Doug Harvey,"P.Niekro (5-56), A.Hrabosky (2), R.Camp (-1-L)",ATL,1980
69,70,Jun 29,False,SDP,"W,4-2",9.0,8,2,2,0,3,3,0,0,3.87,38,,,,,0,0,34,1,0,1,1,0,0,0,1,Jerry Crawford,L.McWilliams (4-63-W),ATL,1980
