,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
32,33,May 18,True,PHI,"W,3-0",33,29,3,8,1,0,0,3,3,1,4,0,1,0,0,1,1,0,0.25,0.323,0.352,0.675,6,9,L,R.Lerch(41),HOU,1980
33,34,May 20,False,NYM,"W,3-2",38,32,3,7,0,0,2,3,6,0,9,0,0,0,0,0,2,1,0.249,0.323,0.353,0.677,8,11,R,C.Swan(54),HOU,1980
34,35,May 21,False,NYM,"L,1-5",35,32,1,4,1,0,1,1,3,0,7,0,0,0,1,0,0,0,0.246,0.32,0.351,0.671,7,14,L,P.Falcone(74),HOU,1980
35,36,May 22,False,NYM,"W,8-5",46,44,8,17,2,0,2,7,1,0,5,1,0,0,2,1,2,1,0.251,0.323,0.358,0.682,11,13,R,M.Bomback(40),HOU,1980
36,37,May 23,False,PHI,"L,0-3",32,29,0,4,0,0,0,0,3,0,8,0,0,0,0,2,0,0,0.248,0.321,0.353,0.674,5,14,L,S.Carlton(84),HOU,1980
37,38,May 24,False,PHI,"L,4-5",35,31,4,6,2,1,1,4,3,0,2,0,0,1,0,0,2,0,0.247,0.319,0.355,0.674,4,13,R,D.Larson(53),HOU,1980
38,39,May 25,False,PHI,"L,2-6",35,33,2,8,2,3,0,1,1,0,2,0,0,1,1,1,0,0,0.247,0.318,0.358,0.676,6,11,R,D.Ruthven(61),HOU,1980
39,40,May 26,True,SDP,"W,4-1",35,31,4,9,3,0,0,4,3,0,0,0,1,0,0,0,2,0,0.248,0.319,0.359,0.677,7,11,L,J.Curtis(46),HOU,1980
40,41,May 27,True,SDP,"W,4-3",32,30,4,6,1,2,0,4,2,0,2,0,0,0,0,0,2,0,0.247,0.317,0.359,0.676,4,13,L,G.Lucas(48),HOU,1980
41,42,May 28,True,SDP,"W,1-0",30,27,1,6,0,1,0,1,2,1,3,0,1,0,0,0,2,2,0.246,0.317,0.358,0.674,5,11,R,R.Wise(61),HOU,1980
42,43,May 30,False,SFG,"L,2-3",32,29,2,5,0,0,2,2,2,0,7,0,0,0,0,0,0,3,0.245,0.315,0.358,0.673,3,11,L,V.Blue(74),HOU,1980
43,44,May 31,False,SFG,"W,5-0",37,35,5,8,1,0,1,4,2,1,6,0,0,0,1,0,1,0,0.245,0.314,0.358,0.672,5,9,R,J.Montefusco(43),HOU,1980
44,45,Jun 1,False,SFG,"L,2-6",32,31,2,6,3,0,0,2,0,0,6,0,1,0,0,1,1,0,0.244,0.312,0.356,0.668,3,13,L,B.Knepper(73),HOU,1980
45,46,Jun 2,False,SDP,"L,0-3",32,30,0,4,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0.241,0.309,0.352,0.661,5,11,R,R.Wise(59),HOU,1980
