,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
32,33,May 18,True,CAL,"W,5-3",32,29,5,7,3,2,0,5,2,1,2,0,0,1,0,0,0,1,0.259,0.318,0.389,0.707,3,10,L,F.Tanana(20),KCR,1980
33,34,May 19,True,OAK,"W,6-5",49,44,6,13,2,0,0,6,3,1,7,1,1,0,1,1,2,0,0.26,0.319,0.388,0.707,11,12,R,S.McCatty(51),KCR,1980
34,35,May 20,True,OAK,"W,1-0",28,27,1,4,0,0,0,1,1,0,4,0,0,0,0,0,0,1,0.258,0.316,0.382,0.699,3,10,R,M.Norris(73),KCR,1980
35,36,May 21,True,OAK,"L,2-4",56,50,2,9,3,0,0,2,4,0,4,0,2,0,1,0,1,0,0.255,0.313,0.376,0.69,12,13,R,B.Kingman(68),KCR,1980
36,37,May 22,True,OAK,"W,16-3",51,44,16,21,4,1,1,14,5,0,5,1,0,1,1,1,0,0,0.262,0.321,0.387,0.708,11,10,R,M.Keough(13),KCR,1980
37,38,May 23,False,CAL,"W,13-9",50,43,13,16,3,0,1,13,4,0,5,2,0,1,2,0,1,0,0.266,0.325,0.391,0.716,10,11,L,F.Tanana(22),KCR,1980
38,39,May 24,False,CAL,"W,6-5",44,39,6,10,1,0,0,6,4,1,6,0,0,1,2,0,2,1,0.266,0.325,0.388,0.713,8,10,R,F.Martínez(57),KCR,1980
39,40,May 25,False,CAL,"W,7-3",44,41,7,16,2,0,1,7,3,0,8,0,0,0,0,0,1,2,0.269,0.328,0.391,0.72,10,10,L,D.LaRoche(46),KCR,1980
40,41,May 26,False,OAK,"L,1-4",30,29,1,3,0,0,1,1,1,0,6,0,0,0,0,1,1,0,0.266,0.324,0.388,0.712,2,9,R,M.Keough(82),KCR,1980
41,42,May 27,False,OAK,"W,4-2",39,36,4,10,1,0,0,3,3,0,3,0,0,0,2,2,0,1,0.266,0.325,0.386,0.71,8,10,R,B.Kingman(49),KCR,1980
42,43,May 28,False,OAK,"L,3-6",37,35,3,9,1,0,0,3,2,0,1,0,0,0,0,0,1,0,0.266,0.324,0.383,0.707,7,11,R,R.Langford(56),KCR,1980
43,44,May 30,True,CHW,"W,9-2",41,31,9,9,2,0,1,8,8,0,4,1,0,1,2,2,5,0,0.266,0.327,0.385,0.712,8,9,L,R.Wortham(33),KCR,1980
44,45,May 31,True,CHW,"W,6-4",38,35,6,12,0,0,1,6,2,0,2,1,0,0,0,1,0,0,0.268,0.328,0.386,0.714,8,10,L,S.Trout(37),KCR,1980
45,46,Jun 1,True,CHW,"L,1-6",36,31,1,7,2,0,0,1,5,0,3,0,0,0,0,2,0,0,0.267,0.328,0.384,0.712,8,11,L,B.Burns(62),KCR,1980
46,47,Jun 2,True,NYY,"L,3-5",36,34,3,7,1,0,1,3,2,0,7,0,0,0,0,0,2,0,0.266,0.327,0.383,0.709,6,11,L,R.Guidry(66),KCR,1980
47,48,Jun 3,True,NYY,"W,6-5",47,39,6,12,3,0,1,6,5,0,0,1,1,1,0,0,1,0,0.267,0.328,0.384,0.713,12,11,R,M.Griffin(32),KCR,1980
48,49,Jun 4,True,NYY,"W,9-3",40,35,9,12,2,1,1,9,5,1,6,0,0,0,0,0,2,0,0.269,0.331,0.388,0.718,7,10,R,L.Tiant(21),KCR,1980
